class,normalized_mfcc_features
normal,"[ 0.29563287  0.26688294  0.27177588  0.46443358  0.38207057  0.45172545
  0.3993686   0.5337332   0.64594436 -0.40653662 -0.52378715 -0.70431431
 -0.51742896 -0.2753064  -0.1579048  -1.00268886 -0.97352751 -1.23760288
  0.7976793   0.73138612  0.62713502 -0.90770942 -0.98354424 -1.04136963
  1.07875479  1.0389266   1.38820012 -0.17843607 -0.12358146 -0.17122893
 -0.43908747 -0.62392641 -0.30413241 -1.69054079 -1.61296394 -1.32998625
 -0.45886688 -0.89861278 -0.79347711 -1.21430815 -1.17177471 -1.29907706
  0.49227659 -0.53441482 -0.64510181 -1.18190213 -0.96419321 -1.01133812
 -1.84631869 -1.7161363  -1.22661577  0.23719383  0.46762199  0.16723619
  0.64845795 -0.09686092 -0.08855749  0.999779    1.07968723  1.13492127
 -0.44305365 -0.78150576 -0.95462241  1.35985167  1.30336239  1.20580753
  0.65521748  0.25172342  0.31314035  0.99180572  0.96108723  0.87938084
 -1.34256726 -1.49365291 -1.25043078  0.54976561  0.7931852   0.65922847
  0.2038703  -0.30784965 -0.19753136 -0.07162705  0.20142453  0.3377585
 -0.24591303 -0.32652886 -0.29529504 -1.22614803 -0.37933189  0.08763855
  0.77063491  0.43092783  0.51237141  0.67569143  0.90127402  1.09289577
  0.90750869  0.70425761  1.11682093  0.18428965  0.23571675 -0.38065004
  0.9283445   0.37768072  0.61507865  0.34762704  1.30076033  1.07460555
  1.53853134  1.04804337  1.00662378  0.25377806  0.02679932 -1.08113677
  0.44507928 -0.06672704 -0.085749   -0.76180033 -0.4321976  -0.60778025
  0.69432435  0.98163172  0.88720888 -1.8304942  -1.17424092 -0.50593344
 -1.01138943 -0.78254782 -0.12602763  0.15118521 -0.6690307  -0.85380009
  0.15188932  1.38200732  1.1432775  -0.64316778 -0.38601464 -0.87521154
  0.29097381  0.97813766  0.30330774  0.14997327 -0.57207742 -1.42521129]"
normal,"[ 0.22673814  0.17546467  0.1803144   0.85332174  0.82526466  0.85598563
 -0.18361541 -0.1668094  -0.00880604  0.47136947  0.50512367  0.27452096
 -1.31202328 -1.32914968 -1.17063985 -0.38714242 -0.08490101 -0.29978788
  0.1592949  -0.08829985 -0.18749403 -0.06626758  0.17616987  0.05414344
  0.08125967 -0.29978527 -0.00943855  0.55088899  0.8142564   0.84065336
 -0.58545282 -1.09348511 -0.90172268 -1.49395489 -1.20186961 -0.84231642
 -0.37441993 -0.95295259 -0.80511737 -1.6167484  -1.61428427 -1.68484116
  0.54770834 -0.12059213 -0.19852257 -0.91788054 -1.27178283 -1.53526514
 -1.26988738 -0.82164765 -0.55160866 -1.59866025 -1.46332927 -1.26374892
  1.23496113  1.07868121  0.82137035  0.22444254 -0.35246757 -0.41055408
  0.95888102  1.12764246  1.16900602 -0.47893761 -0.83548328 -1.16762113
  1.79460221  1.76728751  2.00089467  0.29020175 -0.14900696 -0.28323937
  0.74814764  0.70780769  0.89442952 -1.71677933 -1.68446238 -1.62706897
  0.97450602  1.19421942  1.19205182 -0.13107203 -0.71868521 -0.8229949
  0.218566    0.50568949  0.7901229  -0.50101028 -0.52302371 -0.50496884
 -1.1209626  -0.28943277  0.22416541  0.80378139  0.4677347   0.20702576
  0.85000656  0.93735471  1.41455762  0.94167606  0.68003831  0.7775591
  0.17916714  0.19374461 -0.41083806  0.69215707  0.31598814  0.58523229
  0.42540319  1.33397473  1.15505944  1.23905872  0.97771635  1.05524619
  0.49862085  0.30224344 -0.82899682  0.33400886 -0.06127505 -0.04903512
 -0.65171763 -0.54605052 -0.62607361  0.43220299  0.9727096   0.81213536
 -0.9931228  -0.67238608 -0.29013904 -1.33932402 -0.94210552 -0.05947385
  0.2104377  -0.95783387 -1.09680537 -0.2109399   1.02980175  0.96335069
 -0.47747808  0.04079744 -0.67654466 -0.09500619  0.77407319  0.23743075]"
normal,"[ 2.30709205e-01  2.20145090e-01  2.30804152e-01  3.80409818e-01
  4.10648474e-01  4.54388005e-01  5.31806385e-01  5.05624424e-01
  5.10338230e-01 -7.56507477e-01 -5.64877661e-01 -3.89628484e-01
  1.19799201e-01 -2.84854463e-02 -2.29601090e-01 -1.02061810e+00
 -1.03908604e+00 -1.02240152e+00  8.69917042e-01  9.04272648e-01
  1.09706994e+00 -1.40967487e+00 -1.24694492e+00 -1.28461365e+00
  1.48578078e+00  1.38600873e+00  1.08643543e+00 -4.39741570e-02
 -2.72966870e-03 -1.13228584e-01 -5.66922630e-02 -1.20406159e-01
  5.23364274e-02 -2.81955099e+00 -2.49630596e+00 -2.44146446e+00
 -1.67192751e+00 -8.26427375e-01 -5.82755378e-01 -2.45600687e+00
 -1.55599387e+00 -8.11132262e-01 -1.03515491e+00 -2.51623641e-01
 -4.03657251e-01 -1.50018931e+00 -1.32413518e+00 -1.12834446e+00
 -4.78761356e-01 -1.04746589e+00 -1.07349754e+00 -3.33894988e-01
  1.76307620e-01  5.21175112e-01  8.11839427e-01  9.57640395e-01
  5.86039977e-01  3.01039222e-01  5.82021893e-01  2.66377500e-01
  7.89832779e-01  3.83358370e-01  4.17911206e-01  1.35264737e+00
  1.06794505e+00  9.38768374e-01  5.36534675e-01  2.39270123e-01
  3.50527370e-01 -1.93866547e-01 -3.12923158e-01 -3.47180570e-01
 -4.94985583e-01 -4.74134949e-01 -2.88700289e-01 -8.33244048e-01
 -2.01141459e-01 -1.85361749e-01  1.22441884e-01  3.34893328e-01
  4.48199687e-01 -7.02514556e-03  7.28286803e-03  7.43012343e-02
 -4.73811555e-01 -6.24234863e-01 -4.06657476e-01 -1.13547749e+00
 -7.36840484e-01 -4.61607184e-01  4.10383214e-01  2.64651639e-01
  5.54991079e-01  9.68204988e-01  3.21471619e-01  6.71403276e-01
  8.48364747e-01  3.01409520e-01  2.77091980e-01 -2.27962071e-01
  8.67604028e-03  4.04262649e-01  2.78531186e-01  1.81166642e-01
 -1.31930360e-01 -1.06084444e-01 -1.30007498e-01  3.81320695e-01
  1.00340486e+00  1.61373306e+00  8.72255217e-01 -1.46090678e+00
 -1.36776365e+00 -8.56582337e-01  2.78536296e-01  7.02040566e-01
  4.64407581e-01  8.59085313e-01 -5.45687231e-02 -6.10333298e-01
  6.01722867e-01  6.60118913e-01  5.10913261e-01  1.10538045e-01
 -3.65634109e-01 -3.68995153e-01  7.95684127e-02 -8.12628049e-01
 -9.85423816e-02 -1.68747642e-01 -6.67788283e-01 -5.91807626e-01
  1.62778838e+00  1.54755821e+00  2.05644681e+00  1.17260192e+00
 -3.27711467e-01 -1.09607372e-01 -1.19330765e+00 -2.44761866e-01
  1.84769905e-01 -2.33424812e+00 -1.72357702e+00 -3.99183989e-01]"
normal,"[ 0.10855839  0.08689827  0.12153608  1.00869284  1.05279809  0.95476571
 -0.46083732 -0.51670654 -0.28277303  0.73563755  0.89001129  0.76017752
 -1.51349626 -1.62151625 -1.43079936  0.43339241  0.42391377  0.02570535
 -0.45377004 -0.4363487   0.13975903  0.41036371  0.67405033  0.23940567
 -0.82466852 -0.93519617 -0.58229293  1.5304479   1.57230761  1.01191257
 -1.24059867 -1.37348631 -0.74683577 -1.31520072 -1.01806969 -1.35062824
 -2.57750275 -2.01412269 -1.64239056 -2.25252236 -1.23947594 -0.73257885
 -1.48913862 -0.69138188 -0.19674092 -1.81747591 -1.19298642 -1.24668111
 -0.26937228 -0.69544367 -0.59066597 -1.51796396 -1.34081869 -1.12663777
  1.41937024  1.65549418  1.65197467 -0.76775705 -0.31429141 -0.65145837
  1.5583216   1.43518943  1.25313599 -0.03338586 -0.33552489 -0.13667694
  2.29602249  1.92399841  1.60476291 -0.9028092  -1.0111461  -0.72856398
  0.66215319  0.43494785  0.05667324 -1.61822263 -1.23625555 -0.60147013
 -0.01062303  0.55049423  0.16101997 -0.49116369 -0.34250602  0.24127613
  0.33121041  0.49054083  0.11582494 -1.11146561 -1.32687731 -0.47011042
 -0.81499742 -0.13405845 -0.40014524  0.16521896 -0.28570174  0.63667499
  1.2034424   0.9470113   0.78531084  0.79054747 -0.24954834  0.21151264
 -0.19121374  0.65776032  0.49591664  0.40166608 -0.34391887 -0.33920675
 -0.34223577  0.29063479  0.3729377   0.98182147  1.02134481  0.84845686
 -1.48599398 -0.67214315 -0.71909023  0.24445268  0.02758703  0.13894036
  0.48137106  0.22869215 -0.43918815  0.67100218  0.22106258  0.31740596
 -0.06215589  0.2440383  -0.0171722   0.44096927 -0.92757427 -0.18216204
 -0.41698614 -0.97699399 -0.6195451   1.37208188  1.36490166  1.42181369
  1.53374244  0.19247004  0.75416496 -0.11406236  0.09340814 -0.22867237]"
normal,"[-8.67081698e-02 -1.89113749e-01 -2.55463669e-01 -8.19554874e-01
 -8.98502615e-01 -8.74821517e-01 -6.19840685e-01 -5.10331948e-01
 -7.11421664e-01  5.28054265e-01  6.42512538e-01  4.98710117e-01
  2.60083792e-01  4.73189437e-01  2.89095143e-02  1.27923848e-01
 -4.98416898e-02 -1.58496959e-01  1.12925865e+00  1.10714920e+00
  9.39649147e-01 -2.36187675e-01 -2.38172145e-01 -8.82160409e-02
 -1.26481652e-01 -1.67283621e-01 -6.68799679e-01  4.24772400e-01
  3.31548702e-01  6.47777598e-01 -4.79766307e-01 -2.03924652e-01
  7.32781493e-03  5.96444734e-01  6.07236559e-01  1.56452573e+00
 -6.76558712e-01 -1.04214709e-01 -2.21458436e-01 -1.59893989e-01
  1.76191900e-01  8.82668560e-01 -3.08655853e+00 -1.94506034e+00
 -1.28136075e+00  1.11611321e-01  5.50654822e-01  9.42666219e-01
 -2.18273556e+00 -1.38909936e+00 -1.33048612e+00  9.59666135e-01
  1.34429586e+00  1.42461646e+00 -2.09885701e+00 -1.27007842e+00
 -5.80214218e-01  1.68242889e+00  1.63334172e+00  2.03302674e+00
 -1.44077273e+00 -1.18425688e+00 -1.21878780e+00  1.29444936e+00
  1.24063028e+00  1.21590407e+00 -9.50188172e-01 -1.16079469e+00
 -1.32863426e+00  1.22873920e+00  1.18898538e+00  1.24641693e+00
 -8.06541741e-01 -1.12852825e+00 -1.53318117e+00  1.67964108e+00
  1.44573745e+00  1.17230170e+00 -9.59455909e-01 -1.09311589e+00
 -1.23913500e+00  7.89842524e-01  1.16722873e+00  1.30865545e+00
 -1.56846151e+00 -1.30710530e+00 -1.58813262e+00  6.78020019e-01
  1.13572732e+00  1.05631153e+00 -1.34915986e+00 -1.07641035e+00
 -1.38990364e+00  3.24571568e-01  1.13051156e+00  1.27272803e+00
 -1.11125930e+00 -7.50426418e-01 -9.21850226e-01  2.32150015e-01
  8.67310597e-01  1.20974307e+00 -6.85474315e-01 -6.69724122e-01
 -7.33421372e-01  4.68281316e-02  6.12770285e-01  1.35711852e+00
 -2.54451052e-01 -5.99230667e-01 -8.06294011e-01 -9.44031136e-02
  2.00871589e-01  8.03011097e-01  6.89258391e-02 -3.92026357e-01
 -5.87504429e-01 -1.11557910e-01  6.61883431e-02  6.62059316e-01
  3.86412836e-01 -3.25659611e-02 -3.46462456e-01 -5.38635729e-02
  5.59736667e-02  4.63568495e-01  1.15067541e-01 -1.37789408e-01
 -4.03109012e-01 -5.87810966e-01 -1.92331320e-01  7.69598890e-01
  4.41255005e-02 -9.84856067e-02 -3.02057670e-01 -6.74759597e-01
 -1.86704542e-01  6.37991257e-01 -2.16026855e-01 -6.03155572e-02
 -4.05622748e-01 -6.37321424e-01 -3.00171674e-03  6.73777514e-01]"
normal,"[-0.18786422 -0.25094129 -0.24843379 -0.20623092 -0.51202654 -0.74329957
 -1.62748514 -1.13107179 -0.71133281  1.79222587  1.30173876  0.55108964
 -1.17158812 -0.19497147  0.49198225  1.40914717  0.52175286 -0.43974785
 -0.10101608  0.54595579  0.89126409  1.68730805  0.64000368 -0.61634271
 -2.10498852 -0.84772736 -0.16388578  1.7392965   0.55068915 -0.46717937
 -1.89130549 -0.21220896  0.96965756  1.56292089  0.10651754 -0.73137845
 -1.21838032  0.85124272  2.0041564   0.49994271 -0.60988415 -1.24303388
 -2.83199076 -0.23134008  1.36540179 -0.78049358 -1.29609367 -1.43946824
 -1.2931583   0.474708    0.9756603  -0.62889904 -0.92367247 -0.99357618
 -0.34746486  1.01315456  1.19462851 -0.84967524 -0.81084173 -0.27044034
  1.07351281  1.32013542  0.89612891 -1.18907219 -1.02254188 -0.72762103
  1.25049808  1.03443073  0.40616984 -0.86295453 -0.87191879 -0.43060702
  1.12854569  0.80484419  0.18449724 -0.64190757 -0.68743885 -0.43615295
  1.44417975  0.89144836  0.08677687 -1.12295494 -0.64445292 -0.1066077
  0.7671961   0.62436154  0.17074201 -1.68399434 -0.67920684 -0.06599681
  0.66128386  0.47320075 -0.07929039 -1.63714892 -0.39063463  0.01127017
  0.47339164  0.41209468  0.11657454 -1.16817847  0.034584    0.28314022
  0.21131671  0.0054751   0.05784378 -0.6772082   0.30667489  0.33706562
 -0.19942272 -0.58983068  0.01835952  0.06239832  0.53744279  0.19575041
 -0.27151717 -0.62477503  0.09193995  0.30494195  0.32297525  0.04692496
 -0.3885692  -0.54664541  0.10662451  0.6205226   0.4144617  -0.11324064
 -0.33583038 -0.44032116  0.2183849   0.70375996  0.53586889 -0.0789125
 -1.0330016  -0.62965455  0.39915842  0.41232194  0.22873603 -0.10821143
 -1.27686169 -0.53443006  0.3328996   0.1926819   0.06259417 -0.23721926]"
normal,"[-0.34079738 -0.23336415 -0.19666688 -0.73682137 -0.74281026 -0.77484069
 -0.19231322 -0.43588966 -0.66485744  0.53693165  0.15425027  0.37409035
 -0.11369335  0.64310089  0.77156342  0.37664533  0.27642647  0.05016762
  1.30557056  1.09829596  1.16759851  0.17384497  0.30402408  0.07616744
 -0.11265011  0.39180997 -0.41692599  0.60152159  0.35176051  0.23517711
  0.03871904 -0.30264021 -0.67002018  0.27818009  1.11483991  1.27842967
 -1.54881757  0.23394047  0.89827279  0.68548887  1.05193377  1.21229475
 -1.11117334 -1.26206251 -0.65609319  1.59405392  1.53162485  1.39046262
 -1.6219232  -1.19148862 -0.68676349  1.34022332  1.62046418  1.78971776
 -1.32290402 -1.52713824 -1.16773113  1.76138749  1.60548275  1.71338986
 -1.5935044  -1.60413231 -1.41772987  1.21552974  1.13339379  1.20614024
 -1.39612885 -1.51856264 -1.42435236  1.09819489  0.92851214  0.80763089
 -1.89466299 -1.70852218 -1.52957329  1.35636763  1.32902881  1.01511823
 -1.31769679 -1.13158143 -0.94322705  1.3856091   1.6346427   1.40536799
 -1.36576832 -1.2552529  -1.19841284  1.5376244   2.12956337  1.71474646
 -1.10568846 -1.8330229  -1.77898158  1.29245977  1.92885803  1.35167649
 -1.1390914  -1.90981126 -1.84994684  1.0753589   1.32791729  0.93744647
 -0.8859806  -1.62106927 -1.22069897  1.08855402  1.71268973  1.16422847
 -1.21400466 -1.69515601 -0.90021015  0.46799785  0.77545331  0.53923272
 -0.38087699 -0.6489487  -0.40357288  0.61809064  1.09133493  0.7138318
 -0.13992864 -0.28505825 -0.22694596  0.22240285  0.58120285  0.46523805
 -0.09067569 -0.47983449 -0.2604256   0.45354472  0.91700111  0.80746743
 -0.4870208  -0.76219605 -0.21069544  0.33519453  0.64290585  0.42984819
 -0.30634572 -0.70817657 -0.2416872   0.61885342  0.90624055  0.51090053]"
normal,"[-0.43268222 -0.34909544 -0.28471158 -0.22679533 -0.13819404 -0.28666563
 -1.03114093 -1.42989273 -1.45514207  1.67251927  1.41660968  1.25773143
 -1.31592234 -0.88611337 -0.30209151  1.28833722  1.62432839  1.09021301
  0.37696318 -0.10343403  0.22472576  1.66864462  2.06242748  1.55489275
 -1.53768541 -1.32197964 -1.53649732  1.38904785  1.61375966  0.94635505
 -0.7282241  -1.67023326 -1.33298911  1.04405195  1.77841101  1.03337985
 -1.61894543 -0.20564017  1.25047514  0.07658987  1.21524734  0.92339813
 -0.31231613 -0.7152165   0.42038806  0.4054857   0.43989611  0.08421655
  0.16818109  0.27077572  0.76200343 -0.76524007 -0.10780089 -0.01322675
  0.63344878  0.53541033  0.91188566 -0.50958659 -0.61634026 -0.54137522
  0.99829716  0.92844356  1.16534702 -1.25590983 -1.20776117 -1.12468036
  0.97183996  0.83618754  0.99142957 -1.03964117 -1.20309436 -1.22931769
  0.59026956  0.53065922  0.46559627 -1.60056511 -1.35585427 -1.22601001
  1.02129122  1.00756702  0.61351447 -1.07704638 -0.77383454 -0.41816873
  1.09876861  1.31321     0.89648061 -1.07607041 -0.78483239 -0.46490137
  1.08453011  1.70738351  1.00413136 -0.71982662 -1.62086717 -1.20372324
  0.7840006   1.53507733  0.82254071 -0.58031089 -1.61991109 -1.3026487
  0.39422896  0.89426098  0.23982918 -0.09881043 -1.20498081 -0.40089757
  0.02186085  0.80555112  0.03866612 -0.07511579 -0.48465673  0.27078543
 -0.49040059 -0.20751333 -0.45957657  0.45475575  0.26349172  0.47871057
 -0.30526966  0.08543789 -0.19856567  0.66562193  0.66444056  0.57970081
 -0.81475775 -0.54687075 -0.50143693  1.06019657  0.95031767  0.88244146
 -0.50526443 -0.50826379 -0.27496961  0.57232761  0.75333002  0.91433146
 -0.91937764 -1.05655738 -0.59469881  0.66102468  0.83544629  0.64270865]"
normal,"[-0.24037829 -0.25757739 -0.01715195 -1.06326538 -0.86631711 -1.16182436
 -0.82796238 -0.75654315 -0.975485    0.07464269  0.11815785 -0.41724833
  0.02572409  0.36658411  0.85540487 -0.25343882 -0.04703985  0.03328637
  1.68826642  1.68528007  1.10216016  0.18110478 -0.5989643  -0.38652434
 -0.59432133 -0.02210384  0.62754438  0.50151648  0.59952119  0.22021721
  1.13951267  1.40753759  0.93083538  2.94723127  2.0772014   0.685523
  0.59630439  0.39345817  0.77433099  0.55601678  0.73568654  0.51782716
 -0.90813001 -0.53149379 -0.45421944  1.09340585  1.2229698   0.56905984
 -1.90079267 -1.40824069 -0.86460783  0.15759149  0.86813476  1.01431062
 -0.3743582  -0.10880557 -0.52509109  2.58231288  2.00051941  0.9270947
 -1.0166702  -0.72510349 -0.83367778  0.69509958  1.13652468  0.83359006
 -1.58449186 -1.18355427 -1.75643422  1.36594636  1.20200881  0.40743693
 -1.36884706 -1.4641276  -1.57876284  0.96855015  1.46994052  3.36008691
 -1.02285234 -1.14251704 -1.61977369  1.58264394  0.86542887 -0.03441347
 -0.87751791 -1.45116481 -0.79430505  0.15301834  0.22050271 -0.27925698
 -1.95054843 -1.547      -0.68758551  0.44212911  0.04556586 -0.10870983
 -0.68012182 -1.01828041  0.23993634  0.41283665  0.4948573   0.36505276
 -0.49721993 -0.38548118  0.36897495  1.02325423  0.93132469  0.07356272
  0.19360696 -0.23583006  0.23455429 -0.04904237  0.51855677 -0.22557551
 -0.34206247  0.27794711  0.6450686   0.2495541   0.4113249  -0.10042891
  0.57408372  0.34486872  0.50200431  0.38345424  0.20265769 -0.43347914
  0.47299558  0.71436521  0.50514074  0.49815019  0.19787243 -0.79914501
  0.65330376  0.30689806  0.34534795 -0.02189564 -0.15155754 -0.65767983
 -0.29122519  0.16634696  0.33281181 -0.26098779 -0.10165107 -0.06706888]"
normal,"[-0.34412802 -0.34292074 -0.10233555 -0.43891416 -0.41420317 -0.87568684
 -1.88315323 -1.44315266 -1.50546848  1.4017722   0.92942979  0.03431725
 -1.48725984 -0.56331788  0.19856989  1.07451571  0.62283026  0.58036469
  0.19610713  0.98025455  0.73806431  2.49458443  0.85996327  0.33276397
 -2.60521477 -1.39599926  0.07247332  1.69063175  1.07234567  0.47502491
 -0.85431527  0.57343077  0.73143837  3.92385132  2.4751206   0.48764807
  0.66654293  1.07035011  1.31143288  1.0400241   0.09142344 -0.06666377
 -0.93055965  0.53033646  0.78810806  0.53395388  0.18022744 -0.39231077
 -0.47697395  0.48342944  0.57706641 -1.36700797 -1.28459135 -0.44461976
  0.09684084  1.04921159  0.94643047  0.69339276  0.48557532 -0.13904996
  1.61292841  1.45625331  0.95974555 -1.13057573 -0.63335635 -0.13332744
  0.44521644  0.6069319   0.58106647 -1.27572561 -0.51612883 -0.09577096
  1.29955309  0.69316547  0.53971512 -1.61694721 -1.05062285 -0.25039055
  1.15252634  0.74216468  0.54871576 -1.26783078 -0.6553125  -0.4463032
  2.01342665  0.61159402  0.36731353 -1.34612281 -1.16963666 -0.61896086
  0.38301566 -0.41343894  0.14484803 -2.46896633 -1.2241085  -0.72708676
  0.97794741 -0.0777015   0.16855543 -0.92024214 -0.68062599 -0.44775671
  0.67675077 -0.20023687  0.20169515 -0.726176    0.06916041 -0.24759644
  0.99625055  0.5493586   0.21224914  0.32571092  0.41792859 -0.04018564
 -0.14446    -0.06331607  0.2979736  -0.14722202  0.4043814   0.01565768
 -0.1832162   0.20314446  0.09988907  0.94515481  0.5829038  -0.16915616
  0.04834834  0.04390849 -0.03110105  1.15595916  0.77170005 -0.068167
 -0.23162385  0.31347306 -0.02645266  1.47330406  0.57888418 -0.01922489
 -0.71654606 -0.23583443 -0.07679983  0.59492247  0.02007536  0.01294896]"
